citizen_id,name,gender,dob,educational_qualification,household_id
1,Rebekkah Backshell,Female,10/14/2015,postgraduate,01JJGRD9ACGW7SE30QQ3BPBTGT
2,Jodie Normavell,Male,10/10/2022,secondary,01JJGRD9AB8AGWE5WKDX84YTG3
3,Cleon Gilluley,Male,12/21/1996,postgraduate,01JJGRD9ARZV7JA08BT65X5SFM
4,Hastings Fishley,Male,3/12/2001,primary,01JJGRD99SHAADZCAS93S4SAA0
5,Dorey Utley,Male,2/20/2013,illiterate,01JJGRD9AF4795PHFYGRNKFNBM
6,Wait Winsom,Male,3/18/2008,graduate,01JJGRD9A938E1GDTR3RX75HE1
7,Yardley Speak,Male,8/24/2011,12th,01JJGRD9ARZV7JA08BT65X5SFM
8,Caron Balling,Female,4/3/2015,illiterate,01JJGRD9A2EJ50M0TZ7D222BBT
9,Monah MacCague,Female,7/8/1992,10th,01JJGRD9AF4795PHFYGRNKFNBM
10,Norbert Garvey,Male,6/1/2015,illiterate,01JJGRD9AEG8YS1H1MBY13Y5X2
11,Anselm Godthaab,Male,2/2/1995,secondary,01JJGRD99Z214MAQ4H7C1Y7RVG
12,Kamillah Beddin,Female,8/28/2023,postgraduate,01JJGRD9ABF4K2VCZ0WEPW20YD
13,Brigitta Richie,Bigender,8/28/2010,primary,01JJGRD9AEH7ZTD3ED4CBBMQYP
14,Lisha Kulas,Female,3/6/2006,graduate,01JJGRD99Z214MAQ4H7C1Y7RVG
15,Zane Creasey,Male,9/24/1992,graduate,01JJGRD9AEH7ZTD3ED4CBBMQYP
16,Aidan Goney,Female,10/4/2024,secondary,01JJGRD9A14QA0WS2S5WRBAH9R
17,Town Shearmur,Male,4/10/1997,postgraduate,01JJGRD9A1HWP9A2QS19DZWH81
18,Aridatha Kenn,Female,3/13/2005,12th,01JJGRD9AS9KG5PSWFXNRFK0N5
19,Englebert Durand,Male,2/28/2005,secondary,01JJGRD99XB1HP2RJMKQHHNGHN
20,Neil Chyuerton,Male,7/17/2000,illiterate,01JJGRD9AP03DDQXG3VH8HP772
21,Haroun Abdon,Male,10/29/1991,secondary,01JJGRD99NNCAKDX9P57CDDBPC
22,Raymond Cardno,Male,7/28/2004,secondary,01JJGRD9AAGY4M7KX2MKFXW1R1
23,Josephine Bramwell,Non-binary,5/21/1994,postgraduate,01JJGRD9AJY206XWXZYCC6Q45Y
24,Stanford Seville,Male,8/11/1995,postgraduate,01JJGRD9AP81SE1T2NPQFD72PT
25,Hamil Tremmel,Male,11/3/2007,postgraduate,01JJGRD9AFQJQ3NRPXKM324VFV
26,Rafael Sapena,Male,2/4/1999,secondary,01JJGRD9AFQJQ3NRPXKM324VFV
27,Gweneth Blackleech,Female,10/17/2014,primary,01JJGRD99Z214MAQ4H7C1Y7RVG
28,Eugenio Markl,Male,3/18/2010,postgraduate,01JJGRD9A08G2EJ8C3Q88MK31W
29,Beitris Cradoc,Female,4/30/2003,secondary,01JJGRD9ATC8W3TC1AQQB0YDPD
30,Caprice Errol,Female,9/4/2007,illiterate,01JJGRD9ABF4K2VCZ0WEPW20YD
31,Reinhard Lias,Male,12/27/2022,graduate,01JJGRD99KK3W3QB5C8F9SJJ02
32,Franny Northleigh,Female,1/14/2004,primary,01JJGRD9A0CRBKZH9DS2DY6EAG
33,Rutter Toor,Male,3/27/2016,10th,01JJGRD9APWRR6WN9FTBVM94JA
34,Demetris Willcocks,Female,10/2/1990,primary,01JJGRD9AB8AGWE5WKDX84YTG3
35,Tucker Woolfenden,Male,4/14/1990,illiterate,01JJGRD9A2H38Y46MWWPFXAPCS
36,Gretchen McAnalley,Female,6/27/2012,postgraduate,01JJGRD9AJY206XWXZYCC6Q45Y
37,Gabi Burgisi,Female,6/28/2003,10th,01JJGRD99Q3A7QGX6P1GWGXQE6
38,Devan Gherarducci,Female,11/2/2021,12th,01JJGRD99VXZJXFBNYSPBGTWYP
39,Maribeth Abele,Female,1/24/2020,illiterate,01JJGRD99VXZJXFBNYSPBGTWYP
40,Blanch Mabbitt,Female,9/1/2003,primary,01JJGRD99Z9NVMJ7TB0MYYE5K7
41,Wilhelmina Dobrowolny,Female,9/29/2001,secondary,01JJGRD9A9FMMCF8R795D5NKQ5
42,Nonna Dytham,Female,6/29/2019,graduate,01JJGRD9AFQJQ3NRPXKM324VFV
43,Peri Peart,Female,6/6/2024,graduate,01JJGRD9AHNZA7F27HKVHVM632
44,Nanni Shafto,Female,3/24/2005,secondary,01JJGRD9ADA7SCS1837PATF6H0
45,Hube Culshaw,Male,12/10/2013,secondary,01JJGRD99X6D8QBJVJY5TX8MKJ
46,Andriana Savatier,Female,10/23/2015,graduate,01JJGRD99VXZJXFBNYSPBGTWYP
47,Herbie Elies,Male,3/3/2002,10th,01JJGRD99QK3XV5WJY0WTV4865
48,Nilson Ever,Male,9/10/1997,10th,01JJGRD99M1SH3P1ATQW5AYZ5B
